DisabledWorkers,State,StateCode,Year,TotalLabor,UnemploymentRate,Unemployed,DisabilityRate
178822,South Carolina,45,2015,2257077,0.060,134504,0.079
19212,South Dakota,46,2015,452300,0.031,14223,0.042
251021,Tennessee,47,2015,3062775,0.058,176751,0.082
569586,Texas,48,2015,13078304,0.045,583954,0.044
47923,Utah,49,2015,1464404,0.035,51931,0.033
22565,Vermont,50,2015,344414,0.037,12590,0.066
212711,Virginia,51,2015,4240470,0.044,188562,0.050
179674,Washington,53,2015,3544242,0.057,200250,0.051
91995,West Virginia,54,2015,785049,0.067,52903,0.117
161864,Wisconsin,55,2015,3095376,0.046,142579,0.052
13252,Wyoming,56,2015,306012,0.042,12750,0.043
